TXT_ISSN_P,TXT_ISSN_E,TXT_ISSN_L,NME_REVISTA_IN,NRO_ANO,ID_CLAS_REV,DEP_REV_IN,MUN_REV_IN,NME_ESPECIALIDAD,NME_AREA,NME_GRAN_AREA,NME_INST_EDIT_1,TIPO_INS_N2_E1,TIPO_INS_N3_E1
1900-9607,,,Revista Ces Medicina Veterinaria Y Zootecnia,2009,C,Antioquia,Medellín,Ciencias Veterinarias,Ciencias Veterinarias,Ciencias Agrícolas,UNIVERSIDAD CES,Universidades,Privado
2323-0118,,,Acta Agronomica,2016,C,Valle del Cauca,Palmira,No registra,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1909-258X,,,Revista Especializada En Sistemas Informáticos,2012,C,Santander,Bucaramanga,No registra,Computación y Ciencias de la Información,Ciencias Naturales,UNIDADES TECNOLOGICAS DE SANTANDER,Instituciones Tecnológicas,Público
,2346-4712,,"Góndola, Enseñanza Y Aprendizaje De Las Ciencias",2015,C,"Bogotá, D. C.","Bogotá, D.C.","Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,Universidades,Público
,1900-1649,,Acta Biológica Colombiana,2016,A2,"Bogotá, D. C.","Bogotá, D.C.",Otras Biologías,Ciencias Biológicas,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0123-885X,1900-5180,,Revista De Estudios Sociales,2019,A2,"Bogotá, D. C.","Bogotá, D.C.",Sociología,Sociología,Ciencias Sociales,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
1794-4953,,,Revista Avancesinvestigacion En Ingenieria,2010,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
0124-177X,,,Gestión Y Ambiente,2008,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Geografía Social y Económica,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0120-1751,,2389-8976,Revista Colombiana De Estadística,2022,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Matemática,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0124-4639,,,Revista Universidad Y Empresa,2016,C,"Bogotá, D. C.","Bogotá, D.C.",Negocios y Management,Economía y Negocios,Ciencias Sociales,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,Universidades,Privado
0120-2510,,,Boletín De Antropología,2010,B,Antioquia,Medellín,Antropología,Sociología,Ciencias Sociales,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0122-8102,2346-1691,,Cuadernos De Literatura,2011,B,No disponible,No disponible,Teoría Literaria,Idiomas y Literatura,Humanidades,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
1794-9920,,,Face Revista De La Facultad De Ciencias Economicas U De Pamplona,2015,C,Norte de Santander,Pamplona,Negocios y Management,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD DE PAMPLONA,Universidades,Público
0121-2133,,,Cuarzo,2016,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,FUNDACION UNIVERSITARIA JUAN N CORPAS,Entidades sin ánimo de lucro,Privado
1657-9267,,,Universitas Psychologica,2017,B,No disponible,No disponible,"Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
1794-4449,22563938,,Revista Lasallista De Investigación,2019,B,Antioquia,Caldas,No registra,Otras Ciencias Naturales,Ciencias Naturales,CORPORACION UNIVERSITARIA LASALLISTA,Universidades,Privado
1794-8347,,,Revista Ciencias Estratégicas,2015,B,Antioquia,Medellín,Negocios y Management,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Universidades,Privado
0120-3053,,,Apuntes Del Cenes,2017,B,Boyacá,Tunja,Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
0123-5095,2389-9441,,Cuestiones De Filosofía,2016,C,Boyacá,Tunja,Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
0120-8462,2500-5375,,Cuadernos De Filosofía Latinoamericana,2015,C,"Bogotá, D. C.","Bogotá, D.C.",Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
2216-0973,,,Revista Cuidarte,2019,B,Santander,Bucaramanga,Enfermería,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE SANTANDER,Universidades,Privado
0124-0021,,,Diálogos De Saberes,2011,C,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
0122-7017,,,Enterese,2012,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD MANUELA BELTRAN,Universidades,Privado
1794-9998,2256-3067,,Diversitas : Perspectivas En Psicología,2019,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Psicología,Ciencias Sociales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
2011-2173,,2422-3719,Revista Colombiana De Ciencias Hortícolas,2022,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Agrícolas,Ciencias Agrícolas,SOCIEDAD COLOMBIANA DE CIENCIAS HORTICOLAS,Entidades sin ánimo de lucro,Privado
0120-0488,,,Revista Colombiana De Entomología,2020,C,"Bogotá, D. C.","Bogotá, D.C.","Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento",Ciencias Biológicas,Ciencias Naturales,SOCIEDAD COLOMBIANA DE ENTOMOLOGIA,Entidades sin ánimo de lucro,Privado
0120-100X,,2145-8480,Ion,2022,C,Santander,Bucaramanga,No registra,Ingeniería Química,Ingeniería y Tecnología,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Universidades,Público
0122-1213,,2389-993X,Prospectiva,2021,C,Valle del Cauca,Cali,Trabajo Social,Sociología,Ciencias Sociales,UNIVERSIDAD DEL VALLE,Universidades,Público
1900-3803,,,Entramado,2019,B,Valle del Cauca,Cali,No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
2215-8812,,,Textos Y Sentidos,2011,C,Risaralda,Pereira,Otras Ciencias Sociales,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD CATOLICA DE PEREIRA,Universidades,Privado
,,2011-0731,Academia Y Virtualidad,2021,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD MILITAR NUEVA GRANADA,Universidades,Público
2027-2448,,,Revista Pensamiento Americano,2020,C,Atlántico,Barranquilla,"Ciencias Sociales, Interdisciplinaria",Otras Ciencias Sociales,Ciencias Sociales,CORPORACION UNIVERSITARIA AMERICANA,Universidades,Privado
0120-9957,,2500-7440,Revista Colombiana De Gastroenterología,2022,C,"Bogotá, D. C.","Bogotá, D.C.",Gastroenterología y Hepatología,Medicina Clínica,Ciencias Médicas y de la Salud,ASOCIACION COLOMBIANA DE GASTROENTEROLOGIA,Entidades sin ánimo de lucro,Privado
0123-9015,,,Revista Colombiana De Cancerología,2012,B,"Bogotá, D. C.","Bogotá, D.C.",Oncología,Medicina Clínica,Ciencias Médicas y de la Salud,INSTITUTO NACIONAL DE CANCEROLOGIA ESE,Centros o institutos de investigación,Público
1657-2513,2463 -225,,Revista Areté,2014,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Sociales,Ciencias Sociales,CORPORACION UNIVERSITARIA AMERICANA,Universidades,Privado
2145-5147,,,Desarrollo Gerencial,2015,C,Atlántico,Barranquilla,No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD SIMON BOLIVAR,Universidades,Privado
0123-0425,,2357-6286,Educación Y Ciudad,2022,C,"Bogotá, D. C.","Bogotá, D.C.","Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,INSTITUTO PARA LA INVESTIGACION EDUCATIVA Y EL DESARROLLO PEDAGOGICO,Nacional,Público
1657-4672,,,Plumilla Educativa,2020,C,Caldas,Manizales,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD DE MANIZALES UMANIZALES,Universidades,Privado
0124-5996,,,Revista De Economía Institucional,2015,A2,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD EXTERNADO DE COLOMBIA,Universidades,Privado
0122-8285,,,Palabra Clave,2017,A2,Cundinamarca,Chía,Periodismo,Periodismo y Comunicaciones,Ciencias Sociales,UNIVERSIDAD DE LA SABANA,Universidades,Privado
0122-2066,2145-8499,,Anuario De Historia Regional Y De Las Fronteras,2016,A2,Santander,Bucaramanga,Historia,Historia y Arqueología,Humanidades,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Universidades,Público
2256-151X,2389-9719,,Espiral,2015,C,Santander,Bucaramanga,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
0120-6346,,,Semestre Económico,2016,A2,Antioquia,Medellín,Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD DE MEDELLIN,Universidades,Privado
1794-1237,,,Revista Eia,2020,B,Antioquia,Envigado,Ingeniería Civil,Ingeniería Civil,Ingeniería y Tecnología,UNIVERSIDAD EIA,Universidades,Privado
1692-715X,2027-7679,,"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud",2016,A2,Caldas,Manizales,Sociología,Sociología,Ciencias Sociales,UNIVERSIDAD DE MANIZALES UMANIZALES,Universidades,Privado
2145-1389,,,Signos,2012,C,No disponible,No disponible,No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
1794-9831,,,Ciencia Y Cuidado,2017,B,Norte de Santander,Cúcuta,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Universidades,Público
0120-2510,,,Boletín De Antropología,2009,B,Antioquia,Medellín,Antropología,Sociología,Ciencias Sociales,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
2011-2173,,,Revista Colombiana De Ciencias Hortícolas,2015,A2,"Bogotá, D. C.","Bogotá, D.C.",Otras Ciencias Agrícolas,Otras Ciencias Agrícolas,Ciencias Agrícolas,SOCIEDAD COLOMBIANA DE CIENCIAS HORTICOLAS,Entidades sin ánimo de lucro,Privado
0124-2253,2344-8350,,Revista Científica,2016,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Naturales,Ciencias Naturales,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,Universidades,Público
1657-8031,,,El Ágora Usb,2019,B,Antioquia,Medellín,"Ciencias Sociales, Interdisciplinaria",Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
2145-4086,,,Lámpsakos,2011,C,Antioquia,Medellín,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD CATOLICA LUIS AMIGO,Universidades,Privado
1657-4672,,,Plumilla Educativa,2019,C,Caldas,Manizales,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD DE MANIZALES UMANIZALES,Universidades,Privado
0124-0021,,,Diálogos De Saberes,2013,C,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
0122-8102,2346-1691,,Cuadernos De Literatura,2019,B,No disponible,No disponible,Teoría Literaria,Idiomas y Literatura,Humanidades,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
1909-0528,,,Via Inveniendi Et Iudicandi Revista Virtual,2015,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Derecho,Ciencias Sociales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
,2027-5846,,Ingenierias Usbmed,2016,C,Antioquia,Medellín,Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
0122-7238,2256-5248,,Revista Historia De La Educación Latinoamericana,2019,B,Boyacá,Tunja,No registra,Otras historias,Humanidades,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
0120-8454,,2145-9169,Análisis,2022,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Humanidades,Humanidades,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
1692-5777,,,"Gist, Education And Learning Research Journal",2016,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Educación,Ciencias Sociales,INSTITUCION UNIVERSITARIA COLOMBO AMERICANA,Universidades,Privado
0120-2952,,,Revista De La Facultad De Medicina Veterinaria Y De Zootecnia,2019,B,No disponible,No disponible,Ciencias Veterinarias,Ciencias Veterinarias,Ciencias Agrícolas,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1692-8563,2322-956x,,Dimensión Empresarial,2019,B,Atlántico,Barranquilla,Negocios y Management,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD AUTONOMA DEL CARIBE,Universidades,Privado
2145-9282,2422-2399,,Ingenio Magno,2014,C,Boyacá,Tunja,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
1692-7311,,2389-8844,Equidad & Desarrollo,2021,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD DE LA SALLE,Universidades,Privado
0124-6127,,2462-9596,Discusiones Filosóficas,2021,C,No disponible,No disponible,No registra,Otras Humanidades,Humanidades,UNIVERSIDAD DE CALDAS,Universidades,Público
0122-9761,,,Boletín De Investigaciones Marinas Y Costeras,2010,A2,Magdalena,Santa Marta,"Oceanografía, Hidrología y Recursos del Agua",Ciencias de la Tierra y Medioambientales,Ciencias Naturales,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS INVEMAR,Centros o institutos de investigación,Público
0124-308X,,,Revista De La Facultad Ciencias De La Salud Universidad Del Cauca,2008,C,Cauca,Popayán,"Ciencias del Cuidado de la Salud y Servicios (Administración de Hospitales, Financiamiento)",Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DEL CAUCA,Universidades,Público
0120-9965,,,Agronomía Colombiana,2009,A2,"Bogotá, D. C.","Bogotá, D.C.",Agronomía,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1657-7027,,,Revista Gerencia Y Políticas De Salud,2007,A2,"Bogotá, D. C.","Bogotá, D.C.",Salud Pública,Ciencias de la Salud,Ciencias Médicas y de la Salud,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0120-3630,,,Boletín De Ciencias De La Tierra,2013,A2,Antioquia,Medellín,Geología,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1794-4724,2145-4515,,Avances En Psicología Latinoamericana,2011,A1,"Bogotá, D. C.","Bogotá, D.C.","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,Universidades,Privado
0120-4688,,,Praxis Filosófica,2013,A2,Valle del Cauca,Cali,Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD DEL VALLE,Universidades,Público
0123-885X,1900-5180,,Revista De Estudios Sociales,2009,A2,"Bogotá, D. C.","Bogotá, D.C.",Sociología,Sociología,Ciencias Sociales,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
0124-8170,1909-7735,,Ciencia E Ingeniería Neogranadina,2013,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD MILITAR NUEVA GRANADA,Universidades,Público
1657-6772,,,Revista De Investigación,2006,C,No disponible,No disponible,No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD DE LA SALLE,Universidades,Privado
0120-2952,,,Revista De La Facultad De Medicina Veterinaria Y De Zootecnia,2010,B,No disponible,No disponible,Ciencias Veterinarias,Ciencias Veterinarias,Ciencias Agrícolas,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-5167,2462-8433,,Estudios Políticos,2005,C,Antioquia,Medellín,Ciencias Políticas,Ciencias Políticas,Ciencias Sociales,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0120-0976,,,Revista Interamericana De Bibliotecología,2010,A2,Antioquia,Medellín,No registra,Otras Humanidades,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0123-1154,,,Revista Ibero- Latinoamericana De Seguros,2011,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Sociales,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0120-3584,,,Desarrollo Y Sociedad,2004,C,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
0120-9833,,,Energética,2007,C,Caldas,Manizales,No registra,Ingeniería Ambiental,Ingeniería y Tecnología,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1657-3498,,,Revista Institucional De La Universidad Tecnológica Del Chocó,2008,C,Chocó,Quibdó,No registra,Ciencias Biológicas,Ciencias Naturales,UNIVERSIDAD TECNOLOGICA DEL CHOCO DIEGO LUIS CORDOBA,Universidades,Público
0120-2456,,,Anuario Colombiano De Historia Social,2010,B,"Bogotá, D. C.","Bogotá, D.C.",Historia,Historia y Arqueología,Humanidades,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0124-0781,,,Reflexión Política,2015,B,Santander,Bucaramanga,Ciencias Políticas,Ciencias Políticas,Ciencias Sociales,UNIVERSIDAD AUTONOMA DE BUCARAMANGA,Universidades,Privado
1692-8857,,,Eidos,2006,C,No disponible,No disponible,Filosofía,Otras Humanidades,Humanidades,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
0121-4381,,,Suma Psicológica,2010,B,"Bogotá, D. C.","Bogotá, D.C.","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,FUNDACION UNIVERSITARIA KONRAD LORENZ,Universidades,Privado
0120-2804,2357-3791,,Revista Colombiana De Química,2012,A2,"Bogotá, D. C.","Bogotá, D.C.",Química Analítica,Ciencias Químicas,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1657-6357,,,Sociedad Y Economía,2016,A2,Valle del Cauca,Cali,No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD DEL VALLE,Universidades,Público
0120-159X,,,Revista Colombiana De Sociología,2010,C,"Bogotá, D. C.","Bogotá, D.C.","Temas Especiales (Estudios de Género, Temas Sociales, Estudios de la Familia)",Sociología,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1692-3960,,,Revista@E-Mercatoria,2007,C,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD EXTERNADO DE COLOMBIA,Universidades,Privado
0122-8285,,,Palabra Clave,2009,B,Cundinamarca,Chía,Periodismo,Periodismo y Comunicaciones,Ciencias Sociales,UNIVERSIDAD DE LA SABANA,Universidades,Privado
0121-4772,,,Revista Cuadernos De Economía,2004,A2,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-2494,,,Pedagogía Y Saberes,2007,B,"Bogotá, D. C.","Bogotá, D.C.","Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD PEDAGOGICA NACIONAL,Universidades,Público
0121-7550,,,Nomadas,2011,A2,"Bogotá, D. C.","Bogotá, D.C.",Sociología,Sociología,Ciencias Sociales,UNIVERSIDAD CENTRAL,Universidades,Privado
0121-5469,2344-8644,,Revista Colombiana De Psicología,2008,C,"Bogotá, D. C.","Bogotá, D.C.","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-8123,,,Revista Colombiana De Reumatología,2010,A2,"Bogotá, D. C.","Bogotá, D.C.",Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,ASOCIACION COLOMBIANA DE REUMATOLOGIA,Entidades sin ánimo de lucro,Privado
0120-2812,23230118,,Acta Agronómica,2011,A2,Valle del Cauca,Palmira,No registra,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0120-2812,23230118,,Acta Agronómica,2005,C,Valle del Cauca,Palmira,No registra,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0123-4226,,,Revista U.D.C.A. Actualidad & Divulgación Científica,2015,A2,"Bogotá, D. C.","Bogotá, D.C.",Otras Ciencias Agrícolas,Otras Ciencias Agrícolas,Ciencias Agrícolas,UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES U D C A,Universidades,Privado
0121-2923,,,Palmas,2008,C,No disponible,No disponible,No registra,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,FEDERACION NACIONAL DE CULTIVADORES DE PALMA DE ACEITE FEDEPALMA,Entidades sin ánimo de lucro,Público
1657-9550,,,Biosalud,2012,B,Caldas,Manizales,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE CALDAS,Universidades,Público
0120-3347,2145-4604,,Revista Colombiana De Anestesiología,2008,B,"Bogotá, D. C.","Bogotá, D.C.",Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0120-1751,,,Revista Colombiana De Estadística,2004,C,"Bogotá, D. C.","Bogotá, D.C.",Estadísticas y Probabilidades (Investigación en Metodologías),Matemática,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-5051,,,"Innovar, Revista De Ciencias Administrativas Y Sociales",2008,A1,"Bogotá, D. C.","Bogotá, D.C.",Negocios y Management,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0120-1867,,,Estudios De Derecho,2012,B,Antioquia,Medellín,Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0122-9354,,,Revista De Medicina Veterinaria,2015,A2,"Bogotá, D. C.","Bogotá, D.C.",Ciencias Veterinarias,Ciencias Veterinarias,Ciencias Agrícolas,UNIVERSIDAD DE LA SALLE,Universidades,Privado
0121-2753,,,Itinerario Educativo : Revista De La Facultad De Educación,2010,C,"Bogotá, D. C.","Bogotá, D.C.","Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
0124-5821,,,Revista Virtual Universidad Católica Del Norte,2008,C,Antioquia,Medellín,No registra,Otras Ciencias Sociales,Ciencias Sociales,FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,Universidades,Privado
1900-9909,,,Nexus,2012,C,Valle del Cauca,Cali,Medios y Comunicación Social,Periodismo y Comunicaciones,Ciencias Sociales,UNIVERSIDAD DEL VALLE,Universidades,Público
0123-4471,,,Revista Del Departamento De Antropología Y Sociología Facultad De Ciencias Jurídicas Y Sociales,2007,C,Caldas,Manizales,Antropología,Sociología,Ciencias Sociales,UNIVERSIDAD DE CALDAS,Universidades,Público
0120-4211,,,Bistua : Revista  De La Facultad De Ciencias Básicas,2010,C,No disponible,No disponible,Química Física,Ciencias Químicas,Ciencias Naturales,UNIVERSIDAD DE PAMPLONA,Universidades,Público
0121-6805,,,Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,2014,A2,"Bogotá, D. C.","Bogotá, D.C.",No registra,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD MILITAR NUEVA GRANADA,Universidades,Público
0304-3584,2145-7166,,Actualidades Biológicas,2015,A2,Antioquia,Medellín,Otras Biologías,Ciencias Biológicas,Ciencias Naturales,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0123-3432,2145-566X,,Íkala,2008,C,Antioquia,Medellín,Lingüística,Idiomas y Literatura,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
1692-7311,,,Equidad & Desarrollo,2013,C,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD DE LA SALLE,Universidades,Privado
1794-5992,2389-783X,,Duazary,2010,C,Magdalena,Santa Marta,"Ciencias Socio Biomédicas (Planificación Familiar, Salud Sexual, Efectos Políticos y Sociales de la Investigación Biomédica)",Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DEL MAGDALENA,Universidades,Público
1692-2530,,,Opinión Jurídica,2010,A2,Antioquia,Medellín,No registra,Derecho,Ciencias Sociales,UNIVERSIDAD DE MEDELLIN,Universidades,Privado
0123-7799,,,Tecno Lógicas,2013,B,Antioquia,Medellín,Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN,Universidades,Público
1657-6276,,,Pensamiento & Gestión,2011,A2,Atlántico,Barranquilla,Negocios y Management,Economía y Negocios,Ciencias Sociales,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
0121-8697,,,Revista De Derecho,2007,C,Atlántico,Barranquilla,Derecho,Derecho,Ciencias Sociales,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
0122-2066,2145-8499,,Anuario De Historia Regional Y De Las Fronteras,2009,C,Santander,Bucaramanga,Historia,Historia y Arqueología,Humanidades,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Universidades,Público
1692-0279,2256-4322,,Ad-Minister Revista Escuela De Administración,2011,B,Antioquia,Medellín,Negocios y Management,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD EAFIT,Universidades,Privado
0123-3769,,,Perspectiva Geográfica,2010,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Humanidades,Humanidades,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
0121-0793,2011-7965,,Iatreia,2016,A2,Antioquia,Medellín,Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
