TXT_ISSN_P,TXT_ISSN_E,TXT_ISSN_L,NME_REVISTA_IN,NRO_ANO,ID_CLAS_REV,DEP_REV_IN,MUN_REV_IN,NME_ESPECIALIDAD,NME_AREA,NME_GRAN_AREA,NME_INST_EDIT_1,TIPO_INS_N2_E1,TIPO_INS_N3_E1
0122-8706,2500-5308,,Revista Corpoica,2016,A2,Cundinamarca,Mosquera,Otras Ciencias Agrícolas,Otras Ciencias Agrícolas,Ciencias Agrícolas,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA AGROSAVIA CENTRO DE INVESTIGACION LA SELVA,Entidades sin ánimo de lucro,Privado
0122-9761,,,Boletín De Investigaciones Marinas Y Costeras,2020,B,Magdalena,Santa Marta,"Oceanografía, Hidrología y Recursos del Agua",Ciencias de la Tierra y Medioambientales,Ciencias Naturales,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS INVEMAR,Centros o institutos de investigación,Público
1692-2530,,,Opinión Jurídica,2017,C,Antioquia,Medellín,No registra,Derecho,Ciencias Sociales,UNIVERSIDAD DE MEDELLIN,Universidades,Privado
0120-4483,,,Ensayos Sobre Política Económica,2015,A2,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,BANCO DE LA REPUBLICA BOGOTA,Nacional,Público
1657-8031,,,El Ágora Usb,2018,B,Antioquia,Medellín,"Ciencias Sociales, Interdisciplinaria",Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
0370-3908,,,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2014,A2,"Bogotá, D. C.","Bogotá, D.C.",Geología,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,ACADEMIA COLOMBIANA DE CIENCIAS EXACTAS FISICAS Y NATURALES ACCEFYN,Entidades sin ánimo de lucro,Privado
1909-941X,2389-7848,,Clio América,2019,C,Magdalena,Santa Marta,Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD DEL MAGDALENA,Universidades,Público
1794-1180,,,Escenarios,2016,C,No disponible,No disponible,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD AUTONOMA DEL CARIBE,Universidades,Privado
0120-4645,2256-5078,,Cuadernos De Administración,2015,A2,Valle del Cauca,Cali,Negocios y Management,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD DEL VALLE,Universidades,Público
0568-3076,,,Agronomía,2011,B,Caldas,Manizales,Agronomía,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,UNIVERSIDAD DE CALDAS,Universidades,Público
0124-2059,,,Investigación En Enfermería :Imagen Y Desarrollo,2017,C,"Bogotá, D. C.","Bogotá, D.C.",Enfermería,Ciencias de la Salud,Ciencias Médicas y de la Salud,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
2011-7485,,,Psicología Desde El Caribe,2017,B,No disponible,No disponible,"Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
0120-3754,2500-5227,,Administración & Desarrollo,2014,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Economía y Negocios,Ciencias Sociales,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA,Universidades,Público
